age,S,S_new,Sgrad,H,H_new,Hgrad,dH,population,C,Cdot,L,SL,W,dW,Y,A,Sav,discount,Wgrad,Wacc,Z,zc,uc,ul,V,v,WTP,WTP_H,WTP_S,WTP_W,q
0.0,1.0,1.0,0.0,0.98287668,0.98287668,0.0,0.0,3.778658e6,474.875,0.0,4000.0,0.8766749029852948,6.285348951962402,0.0,0.0,0.0,-474.875,1.0,0.0,0.0,2786.1396312301904,0.7235608114092728,4.920063639436182e-6,4.152189287886858e-6,1.214166242237771e7,8419.179336487772,0.0,0.0,0.0,0.0,0.0
1.0,0.994415606,0.994415606,0.0,0.9771635299999999,0.9771635299999999,0.0,-0.005812682421155883,0.0,474.875,0.0,4000.0,0.8766749029852948,6.285348951962402,0.0,0.0,0.0,-474.875,0.9803921568627451,0.0,0.0,2786.1396312301904,0.7235608114092728,4.920063639436182e-6,4.152189287886858e-6,1.2445408170617595e7,8419.179336487772,0.0,0.0,0.0,0.0,0.0
2.0,0.9915204638577629,0.9915204638577629,0.0,0.97145038,0.97145038,0.0,-0.00584666724105017,1.5275617e7,573.5901797841512,0.0,4000.0,0.8696204261935536,6.285348951962402,0.0,0.0,0.0,-573.5901797841512,0.9611687812379853,0.0,0.0,2853.6803086437803,0.6486541010183183,4.255055121699509e-6,4.069743906783683e-6,1.2722769850246262e7,9816.496413583145,0.0,0.0,0.0,0.0,0.0
3.0,0.9912840783393839,0.9912840783393839,0.0,0.9702669020000001,0.9702669020000001,0.0,-0.0012182588265597766,0.0,692.8258896442536,0.0,4000.0,0.862225834486067,6.285348951962402,0.0,0.0,0.0,-692.8258896442536,0.9423223345470444,0.0,0.0,2926.8486730902246,0.582028096160815,3.675729525201596e-6,3.984381414409406e-6,1.2970304633623151e7,11462.944907519575,0.0,0.0,0.0,0.0,0.0
4.0,0.9910723709090111,0.9910723709090111,0.0,0.969083424,0.969083424,0.0,-0.001219744791418301,0.0,836.8478580682536,0.0,4000.0,0.8544820308013156,6.285348951962402,0.0,0.0,0.0,-836.8478580682536,0.9238454260265141,0.0,0.0,3006.187069217359,0.522740463665232,3.171481008877146e-6,3.896143478182725e-6,1.322084208292625e7,13406.471260824397,0.0,0.0,0.0,0.0,0.0
5.0,0.9908853251663416,0.9908853251663416,0.0,0.967899946,0.967899946,0.0,-0.0012212343856993586,0.0,1010.8085566967127,0.0,4000.0,0.8463805222139797,6.285348951962402,0.0,0.0,0.0,-1010.8085566967127,0.9057308098299157,0.0,0.0,3092.2992538314747,0.4699578306737891,2.732981028460737e-6,3.8050898057485865e-6,1.3474127304837905e7,15704.96735002374,0.0,0.0,0.0,0.0,0.0
6.0,0.9907229265526399,0.9907229265526399,0.0,0.966716468,0.966716468,0.0,-0.0012227276227164499,0.0,1220.9315330624393,0.0,4000.0,0.8379135311918654,6.285348951962402,0.0,0.0,0.0,-1220.9315330624393,0.8879713821861919,0.0,0.0,3185.858425135969,0.42294307933688685,2.352026519726788e-6,3.7112992699295286e-6,1.3729841001380166e7,18428.480094166032,0.0,0.0,0.0,0.0,0.0
7.0,0.990585162348852,0.990585162348852,0.0,0.96553299,0.96553299,0.0,-0.0012242245158483843,1.970786e7,1474.7340617076577,0.0,4000.0,0.8290741120714314,6.285348951962402,0.0,0.0,0.0,-1474.7340617076577,0.8705601786139135,0.0,0.0,3287.616425611016,0.38104412945166266,2.0214060568015034e-6,3.6148709053210197e-6,1.3987585804545458e7,21661.942492627146,0.0,0.0,0.0,0.0,0.0
8.0,0.9904720216739492,0.9904720216739492,0.0,0.9611743800000001,0.9611743800000001,0.0,-0.0045142010114019296,0.0,1781.2960791549501,0.0,4000.0,0.8198562717844687,6.285348951962402,0.0,0.0,0.0,-1781.2960791549501,0.8534903711901113,0.0,0.0,3398.414305127215,0.34368403440097417,1.7347818630892822e-6,3.5159247413733996e-6,1.4246869559747519e7,25508.555692559563,0.0,0.0,0.0,0.0,0.0
9.0,0.9903534870734215,0.9903534870734215,0.0,0.95681577,0.95681577,0.0,-0.004534671429756743,0.0,2151.5850240406244,0.0,4000.0,0.8102550936470755,6.285348951962402,0.0,0.0,0.0,-2151.5850240406244,0.836755265872658,0.0,0.0,3519.1944625674837,0.3103522362707194,1.4865858020503424e-6,3.414602435529867e-6,1.4507524410088789e7,30093.9853595412,0.0,0.0,0.0,0.0,0.0
